date,trim,truecar,inventory
2021-02-22 11:13:02.804172,sport,36836.0,108
2021-02-22 11:13:02.804179,rtl,36215.0,15
2021-02-22 11:13:02.804180,rtl_e,41677.0,23
2021-02-22 11:13:02.804181,black,44548.0,8
2021-02-22 11:15:00.827535,sport,36836.0,108
2021-02-22 11:15:00.827545,rtl,36215.0,15
2021-02-22 11:15:00.827545,rtl_e,41677.0,23
2021-02-22 11:15:00.827546,black,44548.0,8
2021-02-22 12:27:45.487486,sport,36836.0,108
2021-02-22 12:27:45.487497,rtl,36215.0,15
2021-02-22 12:27:45.487498,rtl_e,41677.0,23
2021-02-22 12:27:45.487499,black,44548.0,8
2021-02-22 14:37:49.140131,sport,36836.0,108
2021-02-22 14:37:49.140137,rtl,36215.0,15
2021-02-22 14:37:49.140138,rtl_e,41677.0,23
2021-02-22 14:37:49.140139,black,44548.0,8
2021-02-23 08:13:34.972494,sport,36799.0,109
2021-02-23 08:13:34.972501,rtl,36215.0,16
2021-02-23 08:13:34.972501,rtl_e,41677.0,24
2021-02-23 08:13:34.972502,black,44548.0,8
2021-02-23 09:02:52.636837,sport,36799.0,109
2021-02-23 09:02:52.636843,rtl,36215.0,16
2021-02-23 09:02:52.636844,rtl_e,41677.0,24
2021-02-23 09:02:52.636844,black,44548.0,8
2021-02-23 10:21:12.535751,sport,36799.0,109
2021-02-23 10:21:12.535758,rtl,36215.0,16
2021-02-23 10:21:12.535759,rtl_e,41677.0,24
2021-02-23 10:21:12.535759,black,44548.0,8
2021-02-23 12:10:46.914943,sport,36799.0,109
2021-02-23 12:10:46.914953,rtl,36215.0,16
2021-02-23 12:10:46.914954,rtl_e,41677.0,24
2021-02-23 12:10:46.914954,black,44548.0,8
2021-02-23 12:26:20.755742,sport,36799.0,109
2021-02-23 12:26:20.755749,rtl,36215.0,16
2021-02-23 12:26:20.755750,rtl_e,41677.0,23
2021-02-23 12:26:20.755751,black,44548.0,8
2021-02-23 12:26:20.755751,2020,33546.0,111
2021-02-24 05:46:34.950357,sport,36874.0,112
2021-02-24 05:46:34.950368,rtl,36215.0,16
2021-02-24 05:46:34.950369,rtl_e,41459.0,23
2021-02-24 05:46:34.950369,black,44546.0,8
2021-02-24 05:46:34.950370,2020,33509.0,111
2021-02-24 09:34:56.123953,sport,36874.0,115
2021-02-24 09:34:56.123962,rtl,36215.0,16
2021-02-24 09:34:56.123963,rtl_e,41459.0,23
2021-02-24 09:34:56.123963,black,44546.0,7
2021-02-24 09:34:56.123964,2020,33509.0,110
2021-02-24 11:18:14.553263,sport,36874.0,115
2021-02-24 11:18:14.553274,rtl,36215.0,16
2021-02-24 11:18:14.553275,rtl_e,41459.0,23
2021-02-24 11:18:14.553275,black,44546.0,7
2021-02-24 11:18:14.553276,2020,33509.0,110
2021-02-25 09:46:32.588301,sport,36874.0,117
2021-02-25 09:46:32.588313,rtl,36296.0,16
2021-02-25 09:46:32.588314,rtl_e,41415.0,26
2021-02-25 09:46:32.588315,black,45157.0,9
2021-02-25 09:46:32.588316,2020,33509.0,104
2021-02-26 08:53:29.340640,sport,36874.0,125
2021-02-26 08:53:29.340653,rtl,36296.0,18
2021-02-26 08:53:29.340654,rtl_e,41502.0,30
2021-02-26 08:53:29.340654,black,45398.0,16
2021-02-26 08:53:29.340655,2020,33509.0,103
2021-02-28 09:15:11.528305,sport,36874,128
2021-02-28 09:15:11.528380,rtl,36865.0,18
2021-02-28 09:15:11.528383,rtl_e,41677,33
2021-02-28 09:15:11.528383,black,45160.0,17
2021-02-28 09:15:11.528384,2020,33509.0,92
